Utbildningsområde,Utan momskompensation,Med momskompensation
"Data/IT",69 900,74 100
"Ekonomi, administration och försäljning",62 900,66 600
"Friskvård och kroppsvård",74 800,79 200
"Hotell, restaurang och turism",64 900,68 700
"Hälso- och sjukvård samt socialt arbete",67 000,71 000
"Journalistik och information",66 600,70 600
"Juridik",60 500,64 100
"Kultur, media och design",84 400,89 400
"Lantbruk, djurvård, trädgård, skog och fiske",110 200,116 700
"Pedagogik och undervisning",71 300,75 500
"Samhällsbyggnad och byggteknik",70 400,74 600
"Säkerhetstjänster",63 000,66 800
"Teknik och tillverkning",85 900,91 000
"Transporttjänster",80 400,85 200
